TRADE LOOPS (534 total trades):

239-LEMIN from Amnese             receives 349-TRIUM from aaronseeber
272-TOPPO from Neil Thomson       receives 683-WICKE from Friendless         and sends to 741-TOBAG from fFish
273-FLAME from da pyrate          receives 169-AUSTE from snog               and sends to 169-AUSTE from snog
274-ZOOLO from ateh                           does not trade
275-VILLA from ateh               receives 577-TOBAG from Tyndal             and sends to 342-PRIME from Friendless
276-BLORE from ateh               receives 574-SAMUR from Tyndal             and sends to $40.0 from red turtle
277-DARJE from ateh               receives 126-GENJI from thepackrat         and sends to 439-VEGAS from Ozludo
278-REDNO from ateh               receives 602-ANGEL from rktboy             and sends to 299-CUTTC from Mikey
279-BARON from ateh                           does not trade
281-STEET from da pyrate                      does not trade
282-LNBUR from snog               receives 314-SILNT from squire             and sends to 176-ZEERO from wilderness
283-AFTER from da pyrate          receives 643-TONGA from Mark_Owen_Reich    and sends to 032-CUTTC from revgiblet
284-HARRY from Morka                          does not trade
285-ROBOR from Morka                          does not trade
286-PEACE from da pyrate                      does not trade
287-CHIEX from revgiblet          receives 243-CCEUR from wilderness         and sends to 1036-RFTGY from Phil81
288-OASIS from revgiblet                      does not trade
289-WRING from revgiblet          receives 516-WORLD from Jabroney           and sends to 693-BONAP from Oiler
290-NEWEN from wilderness                     does not trade
291-HANSA from wilderness         receives 051-TOUCH from Hida Mann          and sends to 183-VENIC from junkmonsta
292-BARON from wilderness                     does not trade
293-CCANC from Lucky Phil         receives 432-HEROS from intheclear         and sends to 842-RFTGY from Alex Brown
294-LIBER from Lucky Phil                     does not trade
295-FOURX from Thiessi                        does not trade
296-WILDL from Mikey              receives 777-MACRA from hxbx               and sends to 627-REPUB from trif
297-SIDSX from Mikey              receives 738-FACMN from fFish              and sends to 023-MAGES from revgiblet
298-GENOA from Mikey              receives 514-AMUNR from Jabroney           and sends to $20.0 from cyberkev63
299-CUTTC from Mikey              receives 278-REDNO from ateh               and sends to 614-CTHUL from Croup and Vandemar
300-SENAT from Mikey                          does not trade
301-PANIC from Amiguero           receives 358-SUSPT from da pyrate          and sends to $30.0 from Croup and Vandemar
302-LOSTT from Amiguero           receives 1029-VOAUF from nnf1              and sends to 324-BBALL from Oiler
303-TALIS from Neil Thomson       receives 107-BATTL from some_guy           and sends to 268-SYANY from earlyworm
304-HAPPY from squire             receives $40.0 from red turtle             and sends to 385-SIDME from PBrennan
305-ORCBB from da pyrate          receives 244-MIDWY from wilderness         and sends to 1014-CAVUM from nnf1
306-DKELF from da pyrate                      does not trade
307-SCAVE from squire                         does not trade
308-ZANZI from squire                         does not trade
309-TALES from squire                         does not trade
310-RUNEB from squire                         does not trade
311-QUEST from squire                         does not trade
313-BIBLI from squire             receives $40.0 from red turtle             and sends to $25.0 from cyberkev63
314-SILNT from squire             receives $60.0 from Tyndal                 and sends to 282-LNBUR from snog
315-ELUSV from squire                         does not trade
316-STRUG from squire             receives 242-PHANT from wilderness         and sends to $55.0 from hxbx
317-PLAYG from squire                         does not trade
318-WARGM from squire                         does not trade
319-PANIC from ianwright          receives $25.0 from Tyndal                 and sends to $35.0 from anomander64
320-MACHU from sbszine            receives $50.0 from prd1982                and sends to 827-HOMES from ausminstrel
321-HOUSE from sbszine            receives 248-CRWLR from petegs             and sends to 829-RISAD from ausminstrel
322-SHADW from Amnese                         does not trade
323-SUCCE from petegs                         does not trade
324-BBALL from Oiler              receives 302-LOSTT from Amiguero           and sends to 189-IGELA from Lucky Phil
325-AQUAR from Phil81             receives 494-MASON from Friendless         and sends to 190-EMIRA from Morka
326-MEMOR from Phil81             receives 188-ASARA from Friendless         and sends to 848-WOWDS from TumbleSteak
327-FUNNY from Phil81             receives 864-COURT from Neil Thomson       and sends to 602-ANGEL from rktboy
328-HANGI from Phil81             receives 459-DEMIC from Patriachakai       and sends to 534-ROYAL from tiggers
329-SWORD from randomninja                    does not trade
330-SIDSX from randomninja                    does not trade
331-NEXUS from randomninja                    does not trade
332-SJUAN from randomninja        receives 572-LEGGA from Tyndal             and sends to 191-BRIDG from Morka
333-DEMIC from randomninja                    does not trade
334-BRINK from randomninja                    does not trade
335-NEURO from randomninja        receives 578-NASAL from Tyndal             and sends to 929-ANTLR from Tyndal
336-HXBAB from randomninja                    does not trade
337-RISAD from randomninja                    does not trade
338-SHIPS from snog                           does not trade
339-NAMER from Phil81             receives 384-TOWER from PBrennan           and sends to 470-DAIST from Mariana
340-DITDK from Friendless         receives 640-RESIS from Mark_Owen_Reich    and sends to 697-ARKDH from Amnese
341-HORSE from Friendless         receives $35.0 from Critical Mass          and sends to 846-CASHS from TumbleSteak
342-PRIME from Friendless         receives 275-VILLA from ateh               and sends to 616-RUNEB from trif
343-CAROL from Friendless                     does not trade
344-AGRIC from Friendless         receives 674-TROLL from thepackrat         and sends to 150-LOYAN from Lucky Phil
345-ROBOT from Friendless         receives $20.0 from cyberkev63             and sends to 992-RPGBD from Hida Mann
346-JAMBO from Friendless         receives 399-DYNAS from PBrennan           and sends to 603-APPLE from actionman
347-ATIKA from aaronseeber        receives 541-CANAL from sysyphus           and sends to 600-BOHNA from actionman
348-ORIGO from aaronseeber        receives 911-HERMA from jcbgg              and sends to 081-SHERW from Moose_Head
349-TRIUM from aaronseeber        receives 144-BOLID from ChrisPayne         and sends to 239-LEMIN from Amnese
350-RFTGY from aaronseeber        receives 816-EDTRI from ausminstrel        and sends to 853-SWARS from TumbleSteak
351-STBAR from aaronseeber        receives 258-SYLLA from TorbenVang         and sends to 384-TOWER from PBrennan
352-YSONE from aaronseeber        receives 355-TRIBU from TorbenVang         and sends to 796-WHCCG from Karlsen
353-KILLA from aaronseeber                    does not trade
354-HERAZ from aaronseeber        receives 837-CARCC from Amiguero           and sends to 256-SMILY from TorbenVang
355-TRIBU from TorbenVang         receives 086-TALES from Dr Corey           and sends to 352-YSONE from aaronseeber
356-TAECG from TorbenVang                     does not trade
357-AMYIT from TorbenVang                     does not trade
358-SUSPT from da pyrate          receives 045-ROLLT from Critical Mass      and sends to 301-PANIC from Amiguero
359-THURN from kathyb             receives 034-DIXIT from Thiessi            and sends to 100-CIVIL from petegs
360-CARCT from kathyb             receives 064-RKPAK from Hida Mann          and sends to 756-ARCAN from fFish
361-TEAMM from damnyouhussies     receives 933-DUCKG from Tyndal             and sends to 518-AQUAR from tiggers
362-PERRY from damnyouhussies     receives 097-DUCKG from smittenkitten      and sends to 653-AWFUL from rktboy
363-CADDY from damnyouhussies     receives 029-WOLSG from Unhalfbricking     and sends to 381-MAGIE from PBrennan
364-WORLD from da pyrate                      does not trade
365-INDST from ludopoly           receives 645-BDUEL from thepackrat         and sends to 637-BGOLD from MrBaggy
366-CHINA from da pyrate          receives 512-TWODE from prd1982            and sends to 902-KBURG from tiggers
367-BRKUP from Lucky Phil                     does not trade
369-TTREU from Amiguero           receives 770-DOMIN from batcut             and sends to 581-TALUV from Tyndal
370-THEBE from Amiguero           receives 093-TEMPS from smittenkitten      and sends to $35.0 from Critical Mass
371-KEYTH from Amiguero           receives 010-TROYE from Thiessi            and sends to 520-INKOG from tiggers
372-LOTRC from petegs             receives 796-WHCCG from Karlsen            and sends to 502-FRAGI from Friendless
373-AMULE from PBrennan                       does not trade
374-ANNOO from PBrennan                       does not trade
375-BEANT from PBrennan                       does not trade
376-SHANG from PBrennan           receives 744-DOOMG from fFish              and sends to 519-FUNNY from tiggers
377-CATAN from PBrennan           receives 740-RUNEA from fFish              and sends to 491-SCOTS from Paul65
378-FALSH from PBrennan           receives 571-TERRA from Tyndal             and sends to 783-TEAST from Karlsen
379-KRIEG from PBrennan                       does not trade
380-LUNAL from PBrennan                       does not trade
381-MAGIE from PBrennan           receives 363-CADDY from damnyouhussies     and sends to 854-JTCOE from Phil81
382-MALLW from PBrennan                       does not trade
383-MESOP from PBrennan                       does not trade
384-TOWER from PBrennan           receives 351-STBAR from aaronseeber        and sends to 339-NAMER from Phil81
385-SIDME from PBrennan           receives 304-HAPPY from squire             and sends to $30.0 from cyberkev63
386-BUYWD from PBrennan                       does not trade
387-WOWAG from PBrennan                       does not trade
388-GUERI from PBrennan                       does not trade
389-WAITA from PBrennan                       does not trade
390-SCHWA from PBrennan           receives 687-HMSTR from Friendless         and sends to 790-TOUCH from Karlsen
391-ATLAS from PBrennan                       does not trade
392-DRAKE from PBrennan           receives 732-HMEXP from Mariana            and sends to 063-ESCAP from Hida Mann
393-CROCO from PBrennan                       does not trade
394-BRADM from PBrennan                       does not trade
395-CHECK from PBrennan                       does not trade
396-CONTL from PBrennan                       does not trade
397-BONIE from PBrennan                       does not trade
398-GULCH from PBrennan                       does not trade
399-DYNAS from PBrennan           receives 748-ARCAN from Hida Mann          and sends to 346-JAMBO from Friendless
400-FREDE from PBrennan                       does not trade
401-GOUDA from PBrennan                       does not trade
402-GRAVE from PBrennan                       does not trade
403-SILVA from PBrennan                       does not trade
404-LUPUS from PBrennan           receives 239-LEMIN from Amnese             and sends to 448-SIDSX from Patriachakai
405-MYWRD from PBrennan                       does not trade
406-REMMI from PBrennan                       does not trade
407-PUBLI from PBrennan                       does not trade
408-MASTA from PBrennan                       does not trade
409-TTRCG from PBrennan                       does not trade
410-DEADM from PBrennan                       does not trade
411-AMFUB from PBrennan                       does not trade
412-ROCKE from PBrennan                       does not trade
413-SEISM from PBrennan                       does not trade
414-LIBNT from PBrennan           receives 884-CELTI from Phil81             and sends to 586-SUNDA from Patriachakai
415-OUTDR from Oiler                          does not trade
416-GOWST from Morka                          does not trade
417-ABLZE from Morka                          does not trade
418-GULOG from Oiler              receives 891-CATSA from srand              and sends to 535-SATOR from tiggers
419-MONST from Hida Mann                      does not trade
420-NOICE from Hida Mann                      does not trade
421-NOICE from Hida Mann                      does not trade
422-MAJOR from Hida Mann                      does not trade
423-WYWLF from Hida Mann                      does not trade
424-SAGAS from Hida Mann                      does not trade
425-BLACK from Hida Mann                      does not trade
426-RIFTS from Hida Mann                      does not trade
427-ARKNW from Hida Mann                      does not trade
428-HANNI from Hida Mann                      does not trade
429-ENEMY from Hida Mann                      does not trade
430-FORCE from Hida Mann                      does not trade
431-WARLD from Hida Mann                      does not trade
432-HEROS from intheclear         receives 206-DLORD from Scholle            and sends to 293-CCANC from Lucky Phil
433-MASON from intheclear         receives 845-TAILS from TumbleSteak        and sends to $20.0 from Moose_Head
434-SHEPD from Unhalfbricking                 does not trade
435-TOKYO from ateh               receives 758-VEGAS from Tezza              and sends to 591-STREK from rktboy
436-ROLLT from anomander64        receives 024-SPACE from revgiblet          and sends to 186-STONE from Friendless
437-MEMOR from anomander64        receives 710-ADUCT from Scholle            and sends to 021-LABYR from revgiblet
438-MPIRE from Ozludo                         does not trade
439-VEGAS from Ozludo             receives 277-DARJE from ateh               and sends to 014-BLUCT from revgiblet
440-ESANR from Ozludo                         does not trade
441-AUGSB from Ozludo                         does not trade
442-KINGM from Ozludo                         does not trade
443-HACIE from Ozludo             receives 220-PCOVE from Scholle            and sends to 641-AQUAR from Mark_Owen_Reich
444-GHEOS from Ozludo                         does not trade
445-KQEST from Ozludo                         does not trade
446-REEFE from Ozludo             receives 827-HOMES from ausminstrel        and sends to 516-WORLD from Jabroney
447-PROPH from Patriachakai       receives 066-WHEXP from Hida Mann          and sends to 989-AMBDL from ludopoly
448-SIDSX from Patriachakai       receives 404-LUPUS from PBrennan           and sends to 088-HELLA from Dr Corey
449-CAMEL from Patriachakai                   does not trade
450-LEBEN from Patriachakai                   does not trade
451-AFRIC from Patriachakai                   does not trade
452-FMARS from Patriachakai                   does not trade
453-FMARS from Patriachakai                   does not trade
454-PANZA from Patriachakai                   does not trade
455-MARTI from Patriachakai       receives 105-COSMI from some_guy           and sends to 246-HELLE from petegs
456-COCOA from Patriachakai                   does not trade
457-RUMRE from Patriachakai                   does not trade
458-GRASS from Patriachakai                   does not trade
459-DEMIC from Patriachakai       receives 110-PILEA from some_guy           and sends to 328-HANGI from Phil81
460-WARRI from Patriachakai                   does not trade
461-PTMAR from Patriachakai       receives 112-NAPOL from petegs             and sends to 522-SWARM from tiggers
462-POLEC from Patriachakai                   does not trade
464-ZOMBI from Patriachakai                   does not trade
465-CHANC from Patriachakai       receives 801-PAPER from Jagged Tooth Grin  and sends to 856-DELTA from Phil81
466-KILLA from Patriachakai                   does not trade
467-NINJA from Patriachakai       receives 688-MANOW from srand              and sends to $10.0 from cyberkev63
468-GOLFM from Patriachakai                   does not trade
469-DIPLO from Patriachakai                   does not trade
470-DAIST from Mariana            receives 339-NAMER from Phil81             and sends to 561-DSCHU from gmcnish
471-FABLE from earlyworm                      does not trade
472-SIMON from earlyworm                      does not trade
473-FINAL from earlyworm                      does not trade
474-GETAW from earlyworm                      does not trade
475-BEYON from earlyworm                      does not trade
476-LEGEN from earlyworm                      does not trade
477-SONIC from earlyworm                      does not trade
478-QUEST from earlyworm                      does not trade
479-MONDO from Ykikamucow         receives 741-TOBAG from fFish              and sends to 767-ALHAM from batcut
480-FILES from Aneirin            receives 839-MBROS from Amiguero           and sends to 917-SNAKE from mr_lunch
481-ARTEM from Aneirin                        does not trade
482-BOOKS from Aneirin                        does not trade
483-WATER from da pyrate                      does not trade
484-AUSBR from PBrennan                       does not trade
485-PRICO from Friendless         receives $35.0 from Mark_Owen_Reich        and sends to 115-FEDCM from petegs
486-REEFE from Friendless                     does not trade
487-TOBAG from Friendless                     does not trade
488-TIKAL from anton70            receives 662-DCWEL from zerogeek           and sends to 954-ATARI from mr_lunch
489-MEDIC from Paul65                         does not trade
490-OLTRE from Paul65                         does not trade
491-SCOTS from Paul65             receives 377-CATAN from PBrennan           and sends to $30.0 from srand
493-SPICK from Paul65             receives 498-TENCO from Friendless         and sends to 801-PAPER from Jagged Tooth Grin
494-MASON from Friendless         receives $25.0 from cyberkev63             and sends to 325-AQUAR from Phil81
495-MERID from Friendless                     does not trade
496-TIMBU from Friendless         receives 131-MONKS from thepackrat         and sends to 912-HQTKK from mr_lunch
497-GOLDB from Friendless         receives $30.0 from Alex Brown             and sends to $30.0 from gmcnish
498-TENCO from Friendless         receives $30.0 from Croup and Vandemar     and sends to 493-SPICK from Paul65
499-HAREA from Friendless         receives 556-CCARD from gmcnish            and sends to 759-NIAGR from Tezza
500-FLOOR from Friendless         receives 988-WORDO from cyberkev63         and sends to 896-NDAME from Phil81
501-ARKEM from Friendless         receives $45.0 from hxbx                   and sends to 514-AMUNR from Jabroney
502-FRAGI from Friendless         receives 372-LOTRC from petegs             and sends to 563-SHANG from gmcnish
504-TOUCH from Chuie                          does not trade
505-INDUS from Chuie              receives 135-TRANS from smittenkitten      and sends to 646-PRICO from thepackrat
507-ROLLT from Chuie                          does not trade
509-NORMA from Polly Perks                    does not trade
510-BURNB from Polly Perks                    does not trade
511-MAREN from Polly Perks                    does not trade
512-TWODE from prd1982            receives 001-PANZY from srand              and sends to 366-CHINA from da pyrate
513-HEROQ from Oiler                          does not trade
514-AMUNR from Jabroney           receives 501-ARKEM from Friendless         and sends to 298-GENOA from Mikey
515-ALCHE from Jabroney           receives 020-DREAM from revgiblet          and sends to $15.0 from Lucky Phil
516-WORLD from Jabroney           receives 446-REEFE from Ozludo             and sends to 289-WRING from revgiblet
517-OLTRE from Jabroney                       does not trade
518-AQUAR from tiggers            receives 361-TEAMM from damnyouhussies     and sends to 990-MEDIC from ludopoly
519-FUNNY from tiggers            receives 376-SHANG from PBrennan           and sends to 022-RACEY from Unhalfbricking
520-INKOG from tiggers            receives 371-KEYTH from Amiguero           and sends to 136-OZOOL from smittenkitten
521-NAMER from tiggers            receives 561-DSCHU from gmcnish            and sends to 952-CABLE from intheclear
522-SWARM from tiggers            receives 461-PTMAR from Patriachakai       and sends to 667-THUND from rktboy
523-CELTI from tiggers                        does not trade
524-UBOCG from tiggers            receives 121-CALIF from thepackrat         and sends to 148-BUCCA from Amiguero
525-CATCH from tiggers                        does not trade
526-COLOS from tiggers                        does not trade
527-KAMAK from tiggers            receives 102-CLANS from smittenkitten      and sends to 548-SHEAR from gmcnish
528-FZZZT from tiggers                        does not trade
529-DSERT from tiggers            receives 761-TOCTC from Tezza              and sends to 749-LOTRS from fFish
530-ZERTZ from tiggers            receives 819-TAECG from ausminstrel        and sends to 038-STSCR from red turtle
531-LOTRD from tiggers                        does not trade
532-ATLAN from tiggers            receives 143-MMUSA from ChrisPayne         and sends to 545-BFORE from gmcnish
533-GETBT from tiggers            receives 908-TWOTW from mr_lunch           and sends to $15.0 from Lucky Phil
534-ROYAL from tiggers            receives 328-HANGI from Phil81             and sends to 244-MIDWY from wilderness
535-SATOR from tiggers            receives 418-GULOG from Oiler              and sends to 179-EGIZA from wilderness
536-MISSI from tiggers            receives 854-JTCOE from Phil81             and sends to 660-MDZEP from rktboy
537-BLOOD from da pyrate          receives 642-VIVAP from Mark_Owen_Reich    and sends to $20.0 from dlow
538-BURGA from Ykikamucow                     does not trade
539-MONTA from sysyphus           receives 167-ARKAD from snog               and sends to 1035-FINCA from Aneirin
540-MEGAC from Ykikamucow         receives 185-WAITA from Friendless         and sends to $20.0 from cyberkev63
541-CANAL from sysyphus           receives 750-MEXIC from fFish              and sends to 347-ATIKA from aaronseeber
542-TIKAL from Ykikamucow         receives 028-TIMBK from Unhalfbricking     and sends to 582-UNDER from Tyndal
543-ABBEY from Ykikamucow         receives 664-RALLY from rktboy             and sends to 760-WAGER from Tezza
544-HANSA from gmcnish                        does not trade
545-BFORE from gmcnish            receives 532-ATLAN from tiggers            and sends to 131-MONKS from thepackrat
546-NUCLR from gmcnish                        does not trade
547-MONKS from gmcnish                        does not trade
548-SHEAR from gmcnish            receives 527-KAMAK from tiggers            and sends to 593-LOTRC from Damhsa_Roisin
549-BIRDS from gmcnish                        does not trade
550-TYROS from gmcnish                        does not trade
551-FRASR from gmcnish                        does not trade
553-SATOR from gmcnish            receives 702-PARAD from Amnese             and sends to 771-ENDEA from batcut
554-TTUBE from gmcnish                        does not trade
555-MALLW from gmcnish                        does not trade
556-CCARD from gmcnish            receives $20.0 from Aneirin                and sends to 499-HAREA from Friendless
557-CLANS from gmcnish                        does not trade
558-FMINI from gmcnish            receives 852-CREAT from TumbleSteak        and sends to 708-TENAM from grosse_au
559-CHANG from gmcnish            receives 942-AMSTE from the_pirate         and sends to 254-FAMIL from TorbenVang
560-SPIGS from gmcnish            receives $20.0 from dlow                   and sends to 111-CARDS from some_guy
561-DSCHU from gmcnish            receives 470-DAIST from Mariana            and sends to 521-NAMER from tiggers
562-ARKAD from gmcnish            receives 676-SMART from Friendless         and sends to 034-DIXIT from Thiessi
563-SHANG from gmcnish            receives 502-FRAGI from Friendless         and sends to 890-REEFE from Phil81
564-MYKER from regor              receives 120-BEOWF from petegs             and sends to 671-NEXUS from srand
565-MIMIC from regor                          does not trade
566-HOITY from regor                          does not trade
567-CASHS from Oiler              receives 649-SHADO from zerogeek           and sends to 011-RAILR from Unhalfbricking
568-FLEET from richardanthony                 does not trade
569-TBGGG from Tyndal                         does not trade
570-GHEOS from Tyndal             receives 913-HQRWL from mr_lunch           and sends to 908-TWOTW from mr_lunch
571-TERRA from Tyndal             receives 990-MEDIC from ludopoly           and sends to 378-FALSH from PBrennan
572-LEGGA from Tyndal             receives 661-REDIN from rktboy             and sends to 332-SJUAN from randomninja
573-MICRO from Tyndal             receives $30.0 from srand                  and sends to 640-RESIS from Mark_Owen_Reich
574-SAMUR from Tyndal             receives $30.0 from srand                  and sends to 276-BLORE from ateh
575-MIDGA from Tyndal                         does not trade
576-LASCA from Tyndal                         does not trade
577-TOBAG from Tyndal             receives 085-STONE from Dr Corey           and sends to 275-VILLA from ateh
578-NASAL from Tyndal             receives $50.0 from Peptis                 and sends to 335-NEURO from randomninja
579-DUELA from Tyndal                         does not trade
580-PILLA from Tyndal                         does not trade
581-TALUV from Tyndal             receives 369-TTREU from Amiguero           and sends to 642-VIVAP from Mark_Owen_Reich
582-UNDER from Tyndal             receives 542-TIKAL from Ykikamucow         and sends to 837-CARCC from Amiguero
583-ARKAD from Tyndal                         does not trade
584-DLBUN from Tyndal             receives $10.0 from cyberkev63             and sends to $12.0 from Jagged Tooth Grin
585-LEADA from pusboyau                       does not trade
586-SUNDA from Patriachakai       receives 414-LIBNT from PBrennan           and sends to 197-DITDK from prd1982
587-MUTIE from Patriachakai                   does not trade
588-MUTIE from Patriachakai                   does not trade
589-SWORD from Patriachakai       receives 1031-LRTCG from nnf1              and sends to 109-PKING from some_guy
590-LOTRS from Patriachakai                   does not trade
591-STREK from rktboy             receives 435-TOKYO from ateh               and sends to $60.0 from Tyndal
593-LOTRC from Damhsa_Roisin      receives 548-SHEAR from gmcnish            and sends to 013-ROMAN from Unhalfbricking
595-THUND from Damhsa_Roisin      receives 820-WONDA from ausminstrel        and sends to $50.0 from randomninja
597-ESTIN from rktboy                         does not trade
598-SMART from rktboy                         does not trade
599-STRAT from actionman                      does not trade
600-BOHNA from actionman          receives 347-ATIKA from aaronseeber        and sends to $15.0 from Damhsa_Roisin
601-CARCA from actionman          receives 805-SCYRD from batcut             and sends to 648-HUMAN from zerogeek
602-ANGEL from rktboy             receives 327-FUNNY from Phil81             and sends to 278-REDNO from ateh
603-APPLE from actionman          receives 346-JAMBO from Friendless         and sends to 072-CHAOS from Hida Mann
604-YSPAH from Lucky Phil         receives 181-PIRAT from wilderness         and sends to 821-ASTRA from ausminstrel
605-QUEBE from Lucky Phil                     does not trade
606-STRAN from pusboyau                       does not trade
607-TAJMA from Paul65                         does not trade
608-DARKE from Patriachakai       receives 109-PKING from some_guy           and sends to 998-LOTFR from Hida Mann
609-SORCE from Patriachakai                   does not trade
610-CAMPA from Patriachakai                   does not trade
611-CARCT from Croup and Vandemar             does not trade
612-GURPS from Croup and Vandemar             does not trade
613-FLEET from Croup and Vandemar receives 156-REDIN from dlow               and sends to 248-CRWLR from petegs
614-CTHUL from Croup and Vandemar receives 299-CUTTC from Mikey              and sends to 060-ARRGH from Hida Mann
615-ANIMA from trif               receives 998-LOTFR from Hida Mann          and sends to 941-INNFG from mr_lunch
616-RUNEB from trif               receives 342-PRIME from Friendless         and sends to 001-PANZY from srand
618-BLROY from trif                           does not trade
620-ROWAR from trif                           does not trade
621-SWCCG from trif               receives 997-LOTFR from Hida Mann          and sends to 819-TAECG from ausminstrel
623-PRINC from trif                           does not trade
624-ZOMBI from trif                           does not trade
625-ZANZI from trif                           does not trade
626-DAMAG from trif               receives 119-GANGS from petegs             and sends to 935-GTBIT from srand
627-REPUB from trif               receives 296-WILDL from Mikey              and sends to $25.0 from cyberkev63
628-CHAMP from trif                           does not trade
629-DREDD from trif                           does not trade
630-SPYCR from trif                           does not trade
631-IMPER from MrBaggy            receives 087-ADVEN from Dr Corey           and sends to 206-DLORD from Scholle
633-NUNNY from MrBaggy            receives 014-BLUCT from revgiblet          and sends to 811-EMPIR from Ozludo
635-PFLOR from MrBaggy            receives 090-CCARD from smittenkitten      and sends to $40.0 from randomninja
636-STRAS from MrBaggy            receives 017-FIELD from revgiblet          and sends to $40.0 from tiggers
637-BGOLD from MrBaggy            receives 365-INDST from ludopoly           and sends to 750-MEXIC from fFish
638-BEOWF from Mark_Owen_Reich                does not trade
639-NWENG from Mark_Owen_Reich                does not trade
640-RESIS from Mark_Owen_Reich    receives 573-MICRO from Tyndal             and sends to 340-DITDK from Friendless
641-AQUAR from Mark_Owen_Reich    receives 443-HACIE from Ozludo             and sends to 820-WONDA from ausminstrel
642-VIVAP from Mark_Owen_Reich    receives 581-TALUV from Tyndal             and sends to 537-BLOOD from da pyrate
643-TONGA from Mark_Owen_Reich    receives 125-JADEG from thepackrat         and sends to 283-AFTER from da pyrate
644-MACHA from thepackrat                     does not trade
645-BDUEL from thepackrat         receives 810-HAPEN from Ozludo             and sends to 365-INDST from ludopoly
646-PRICO from thepackrat         receives 505-INDUS from Chuie              and sends to 017-FIELD from revgiblet
647-MARTI from zerogeek                       does not trade
648-HUMAN from zerogeek           receives 601-CARCA from actionman          and sends to 777-MACRA from hxbx
649-SHADO from zerogeek           receives 959-WARGM from psmaylott          and sends to 567-CASHS from Oiler
650-FORTA from zerogeek           receives 111-CARDS from some_guy           and sends to 043-MARSS from Critical Mass
651-RUNEB from zerogeek           receives 965-MIDDQ from psmaylott          and sends to 093-TEMPS from smittenkitten
652-DESCE from zerogeek           receives 011-RAILR from Unhalfbricking     and sends to $25.0 from cyberkev63
653-AWFUL from rktboy             receives 362-PERRY from damnyouhussies     and sends to 758-VEGAS from Tezza
654-BEANT from rktboy                         does not trade
655-CCOWS from rktboy                         does not trade
656-EATEN from rktboy             receives 1002-FDMIN from nnf1              and sends to $15.0 from cyberkev63
657-FORCE from rktboy                         does not trade
658-GALAC from rktboy                         does not trade
659-DCLEG from zerogeek           receives 987-RFTGY from wilderness         and sends to 675-MANOW from goonahboy
660-MDZEP from rktboy             receives 536-MISSI from tiggers            and sends to 057-EDISN from Hida Mann
661-REDIN from rktboy             receives 869-POUTN from Neil Thomson       and sends to 572-LEGGA from Tyndal
662-DCWEL from zerogeek           receives 1036-RFTGY from Phil81            and sends to 488-TIKAL from anton70
663-RDNOV from rktboy                         does not trade
664-RALLY from rktboy             receives 132-NOSPN from thepackrat         and sends to 543-ABBEY from Ykikamucow
665-DCICE from zerogeek                       does not trade
666-RUNEB from rktboy             receives 759-NIAGR from Tezza              and sends to 699-HAPPY from Amnese
667-THUND from rktboy             receives 522-SWARM from tiggers            and sends to 085-STONE from Dr Corey
668-TOMBA from rktboy                         does not trade
669-DCJOU from zerogeek           receives 256-SMILY from TorbenVang         and sends to $25.0 from Tyndal
670-BTGAL from srand              receives 755-INTRU from Hida Mann          and sends to 064-RKPAK from Hida Mann
671-NEXUS from srand              receives 564-MYKER from regor              and sends to $20.0 from cyberkev63
672-CLASH from petegs                         does not trade
673-OASIS from srand              receives 778-AAGUA from hxbx               and sends to $15.0 from cyberkev63
674-TROLL from thepackrat         receives 173-STCAR from Karlsen            and sends to 344-AGRIC from Friendless
675-MANOW from goonahboy          receives 659-DCLEG from zerogeek           and sends to 052-SEVEN from Hida Mann
676-SMART from Friendless         receives $20.0 from cyberkev63             and sends to 562-ARKAD from gmcnish
677-ESCHN from Friendless                     does not trade
678-BONNI from Friendless                     does not trade
679-FRICE from Friendless                     does not trade
680-FORBI from Friendless                     does not trade
681-TERRA from Friendless         receives $25.0 from cyberkev63             and sends to $25.0 from srand
682-QUEEN from Friendless         receives $20.0 from cyberkev63             and sends to $20.0 from Aneirin
683-WICKE from Friendless         receives 1008-CBALL from nnf1              and sends to 272-TOPPO from Neil Thomson
684-PARTY from Friendless                     does not trade
685-SUNDA from Friendless                     does not trade
686-TOTEM from Friendless                     does not trade
687-HMSTR from Friendless         receives $20.0 from cyberkev63             and sends to 390-SCHWA from PBrennan
688-MANOW from srand              receives 795-AUGSB from Karlsen            and sends to 467-NINJA from Patriachakai
689-PERTH from Friendless                     does not trade
690-SOCCA from pusboyau                       does not trade
691-PASSB from pusboyau                       does not trade
692-TTREU from pusboyau           receives $45.0 from hxbx                   and sends to 738-FACMN from fFish
693-BONAP from Oiler              receives 289-WRING from revgiblet          and sends to 736-RENAI from snog
694-FUNNY from pusboyau                       does not trade
695-SIDSX from Amnese                         does not trade
696-ALHAM from Amnese                         does not trade
697-ARKDH from Amnese             receives 340-DITDK from Friendless         and sends to $35.0 from Tyndal
698-LEODV from Amnese             receives 229-GETTY from petegs             and sends to 880-UBONG from Neil Thomson
699-HAPPY from Amnese             receives 666-RUNEB from rktboy             and sends to 171-LOTRR from snog
701-BFINY from Amnese                         does not trade
702-PARAD from Amnese             receives 114-ROMML from petegs             and sends to 553-SATOR from gmcnish
704-TAJMA from Amnese             receives 176-ZEERO from wilderness         and sends to 924-MAXIM from mr_lunch
705-GRAND from Amnese                         does not trade
706-GARDN from Amnese                         does not trade
